Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2003","2003","t","34172","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2004","2004","t","34274","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2005","2005","t","35015","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2006","2006","t","31984","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2007","2007","t","38659","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2008","2008","t","35815","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2009","2009","t","34406","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2010","2010","t","30420","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2011","2011","t","25599","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2012","2012","t","27595","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2013","2013","t","22227","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2014","2014","t","29504.52","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2015","2015","t","25275.75","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2016","2016","t","23091.22","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2017","2017","t","29243.14","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2018","2018","t","28469.65","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2019","2019","t","26745.67","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2020","2020","t","28194.05","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2021","2021","t","18882.82","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2022","2022","t","24353.44","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2023","2023","t","20487.11","A","Official value",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","F0665","Cocoa powder and cake","2024","2024","t","16938.14","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1991","1991","t","7725","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1992","1992","t","6270","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1993","1993","t","7650","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1994","1994","t","3900","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1995","1995","t","3475","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1996","1996","t","33496","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1997","1997","t","23131","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1998","1998","t","17416","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","1999","1999","t","14913","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2000","2000","t","16732.6","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2001","2001","t","9517","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2002","2002","t","17839","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2003","2003","t","22000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2004","2004","t","17000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2005","2005","t","18000","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2006","2006","t","17700","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2007","2007","t","15920","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2008","2008","t","6105","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2009","2009","t","10490","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2010","2010","t","23026","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2011","2011","t","39054","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2012","2012","t","17442","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2013","2013","t","20038","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2014","2014","t","38070.37","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2015","2015","t","24455.51","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2016","2016","t","32426","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2017","2017","t","56134.02","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2018","2018","t","62226.53","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2019","2019","t","69302.84","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2020","2020","t","55444.38","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2021","2021","t","74652.95","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2022","2022","t","60201.8","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2023","2023","t","53204.35","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23620","Cocoa butter, fat and oil","2024","2024","t","42648.02","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1991","1991","t","7470","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1992","1992","t","5600","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1993","1993","t","7925","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1994","1994","t","5885","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1995","1995","t","8757","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1996","1996","t","5690","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1997","1997","t","4970","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1998","1998","t","3643","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","1999","1999","t","0","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2000","2000","t","7538.36","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2001","2001","t","3971","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2002","2002","t","13127","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2003","2003","t","15500","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2004","2004","t","20384","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2005","2005","t","18314","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2006","2006","t","31884","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2007","2007","t","26044","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2008","2008","t","2400","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2009","2009","t","100","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2010","2010","t","2920","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2011","2011","t","3000","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2012","2012","t","1","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2013","2013","t","100","A","Official value",""
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2014","2014","t","93585.07","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2015","2015","t","86245.01","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2016","2016","t","88248","X","Value from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","288","Ghana","5910","Export quantity","23610.01","Cocoa paste not defatted","2017","2017","t","38092.63","A","Official value",""
